method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
rand_ba7aa0ba,10,52.2,5,10.44,0,0.019157
rand_7565e182,10,52.6,5,10.52,0,0.019011
rand_79e1cb5b,10,49.9,5,9.98,0,0.02004
rand_f2ce7536,10,50.4,5,10.08,0,0.019841
rand_1b4d2fc3,10,51.0,5,10.2,0,0.019608
rand_c1026ada,10,46.9,5,9.38,0,0.021322
rand_6be43492,10,50.0,5,10.0,0,0.02
rand_abb4fee0,10,46.7,5,9.34,0,0.021413
rand_734d2752,10,52.0,5,10.4,0,0.019231
rand_c6e29ba9,10,46.5,5,9.3,0,0.021505
rand_245650b7,10,49.6,5,9.92,0,0.020161
rand_b44b7c2d,10,50.4,5,10.08,0,0.019841
rand_b08382ba,10,45.6,5,9.12,0,0.02193
rand_a9340907,10,50.5,5,10.1,0,0.019802
rand_cd9e733a,10,47.7,5,9.54,0,0.020964
rand_32a4b295,10,49.4,5,9.88,0,0.020243
rand_74db190f,10,47.9,5,9.58,0,0.020877
rand_1ca9245c,10,48.7,5,9.74,0,0.020534
rand_18e0932a,10,48.9,5,9.78,0,0.02045
rand_68ea0801,10,48.5,5,9.7,0,0.020619
rand_faeffbd6,10,45.9,5,9.18,0,0.021786
rand_649a177d,10,46.8,5,9.36,0,0.021368
rand_a47e65f5,10,48.1,5,9.62,0,0.02079
rand_3e658cdd,10,46.1,5,9.22,0,0.021692
rand_b9b4a4a1,10,49.3,5,9.86,0,0.020284
rand_7efbc69b,10,46.5,5,9.3,0,0.021505
rand_a76d53b2,10,49.3,5,9.86,0,0.020284
rand_440dadfd,10,45.6,5,9.12,0,0.02193
rand_d3020712,10,47.3,5,9.46,0,0.021142
rand_0b45932f,10,47.2,5,9.44,0,0.021186
rand_408c7963,10,51.5,5,10.3,0,0.019417
rand_a422d74b,10,50.9,5,10.18,0,0.019646
rand_28657641,10,47.9,5,9.58,0,0.020877
rand_5b06c24d,10,48.9,5,9.78,0,0.02045
rand_01a8b941,10,46.7,5,9.34,0,0.021413
rand_fe3931b0,10,48.5,5,9.7,0,0.020619
rand_68ec48dc,10,47.9,5,9.58,0,0.020877
rand_9dc5f297,10,45.8,5,9.16,0,0.021834
rand_9b36bd8d,10,45.9,5,9.18,0,0.021786
rand_a807796b,10,48.6,5,9.72,0,0.020576
rand_dfb87211,10,47.7,5,9.54,0,0.020964
rand_e5cf6f71,10,48.3,5,9.66,0,0.020704
rand_201f3c86,10,49.2,5,9.84,0,0.020325
rand_50e3d2c6,10,50.1,5,10.02,0,0.01996
rand_3be13506,10,48.2,5,9.64,0,0.020747
rand_2bbeb3c7,10,46.8,5,9.36,0,0.021368
rand_3bcddff7,10,49.9,5,9.98,0,0.02004
rand_0d8132b2,10,46.1,5,9.22,0,0.021692
rand_e982dbcc,10,49.2,5,9.84,0,0.020325
rand_8373b5da,10,45.5,5,9.1,0,0.021978
rand_7d5dfc7d,10,45.5,5,9.1,0,0.021978
rand_007d9a73,10,47.6,5,9.52,0,0.021008
